2024-08-03 18:18:16.206 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-166 [32m1722680296035ozr[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-77 [32m1722680296119x81[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-168 [32m1722680296132e8j[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-116 [32m1722680296055hm1[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-43 [32m17226802961285w4[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-81 [32m17226802961157eo[0;39m ------------- 结束 耗时：91 ms -------------
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-6 [32m1722680296050e1i[0;39m ------------- 结束 耗时：156 ms -------------
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-98 [32m1722680296114bem[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :57   http-nio-8002-exec-43 [32m17226802961285w4[0;39m 远程地址: 127.0.0.1
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-48 [32m1722680296206owz[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :57   http-nio-8002-exec-98 [32m1722680296114bem[0;39m 远程地址: 127.0.0.1
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-43 [32m17226802961285w4[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :57   http-nio-8002-exec-170 [32m1722680296119zh5[0;39m 远程地址: 127.0.0.1
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-37 [32m1722680296120krz[0;39m ------------- 结束 耗时：89 ms -------------
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-114 [32m1722680296206ak8[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-29 [32m1722680296125brq[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.209 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-116 [32m1722680296055hm1[0;39m 购票被限流
2024-08-03 18:18:16.204 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-28 [32m1722680296093zhf[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.209 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-43 [32m17226802961285w4[0;39m 购票被限流
2024-08-03 18:18:16.207 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-50 [32m1722680296207alc[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-85 [32m1722680296206xcr[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.206 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-51 [32m1722680295903m04[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.210 INFO  com.fugui.train.common.aspect.LogAspect           :90   http-nio-8002-exec-43 [32m17226802961285w4[0;39m 返回结果: {"message":"访问人数过多，请重试","success":false}
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-114 [32m1722680296206ak8[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.210 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-50 [32m1722680296207alc[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.208 INFO  c.fugui.train.common.interceptor.MemberInterceptor:27   http-nio-8002-exec-166 [32m1722680296035ozr[0;39m 当前登录token为eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE3MjI1OTY0NDEsIm1vYmlsZSI6IjEzMDAwMDAwMDAwIiwiaWQiOjE4MTQzNTg0NDA3NzMwMjk4ODgsImV4cCI6MTcyMjY4Mjg0MSwiaWF0IjoxNzIyNTk2NDQxfQ.R1HQA76yf8a4kjI9J-3zDWfoOl3BHk1YSy8TGO08AaA
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-122 [32m17226802959471au[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :57   http-nio-8002-exec-18 [32m1722680296123ayy[0;39m 远程地址: 127.0.0.1
2024-08-03 18:18:16.210 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-28 [32m1722680296093zhf[0;39m 购票被限流
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-77 [32m1722680296119x81[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-168 [32m1722680296132e8j[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-144 [32m17226802961340kb[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.208 INFO  com.fugui.train.common.aspect.LogAspect           :90   http-nio-8002-exec-158 [32m172268029594777v[0;39m 返回结果: {"message":"访问人数过多，请重试","success":false}
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-83 [32m1722680295944tb4[0;39m ------------- 结束 耗时：261 ms -------------
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-12 [32m1722680296205hfz[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-82 [32m17226802960886ko[0;39m ------------- 结束 耗时：117 ms -------------
2024-08-03 18:18:16.205 INFO  c.fugui.train.common.interceptor.MemberInterceptor:27   http-nio-8002-exec-32 [32m1722680294502n1y[0;39m 当前登录token为eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE3MjI1OTY0NDEsIm1vYmlsZSI6IjEzMDAwMDAwMDAwIiwiaWQiOjE4MTQzNTg0NDA3NzMwMjk4ODgsImV4cCI6MTcyMjY4Mjg0MSwiaWF0IjoxNzIyNTk2NDQxfQ.R1HQA76yf8a4kjI9J-3zDWfoOl3BHk1YSy8TGO08AaA
2024-08-03 18:18:16.205 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-195 [32m1722680295983mb1[0;39m 购票被限流
2024-08-03 18:18:16.206 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-94 [32m17226802961318ei[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :54   http-nio-8002-exec-152 [32m1722680296205icf[0;39m ------------- 开始 -------------
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-48 [32m1722680296206owz[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.209 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-42 [32m1722680295958a95[0;39m 购票被限流
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-162 [32m1722680296031wsn[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.205 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-63 [32m1722680296013wo8[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-98 [32m1722680296114bem[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-66 [32m17226802960347bq[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-170 [32m1722680296119zh5[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :78   http-nio-8002-exec-27 [32m1722680296092x1r[0;39m 请求参数: [{"dailyTrainTicketId":1819098670612746240,"date":1723651200000,"end":"上海","start":"潮阳","tickets":[{"passengerId":1814928524881039400,"passengerIdCard":"11","passengerName":"王泽铭","passengerType":"2","seatTypeCode":"2"}],"trainCode":"1"}]
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-29 [32m1722680296125brq[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.205 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-52 [32m172268029609013h[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.209 INFO  com.fugui.train.common.aspect.LogAspect           :90   http-nio-8002-exec-116 [32m1722680296055hm1[0;39m 返回结果: {"message":"访问人数过多，请重试","success":false}
2024-08-03 18:18:16.205 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-178 [32m1722680295898rd5[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :90   http-nio-8002-exec-70 [32m1722680296068p3p[0;39m 返回结果: {"message":"访问人数过多，请重试","success":false}
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-140 [32m17226802961144cg[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.204 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-45 [32m1722680296087bun[0;39m ------------- 结束 耗时：117 ms -------------
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :55   http-nio-8002-exec-104 [32m1722680296119kv3[0;39m 请求地址: http://127.0.0.1:8002/business/confirm-order/do POST
2024-08-03 18:18:16.205 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-146 [32m17226802961951p4[0;39m 购票被限流
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :90   http-nio-8002-exec-151 [32m17226802961139cc[0;39m 返回结果: {"message":"访问人数过多，请重试","success":false}
2024-08-03 18:18:16.205 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-4 [32m17226802959855ey[0;39m ------------- 结束 耗时：220 ms -------------
2024-08-03 18:18:16.205 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-129 [32m1722680295989pja[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.204 INFO  com.fugui.train.common.aspect.LogAspect           :56   http-nio-8002-exec-79 [32m1722680296204tpg[0;39m 类名方法: com.fugui.train.business.controller.ConfirmOrderController.doConfirm
2024-08-03 18:18:16.204 INFO  c.f.t.business.controller.ConfirmOrderController  :36   http-nio-8002-exec-74 [32m1722680296112n6c[0;39m 购票被限流
2024-08-03 18:18:16.213 INFO  c.fugui.train.common.interceptor.MemberInterceptor:26   http-nio-8002-exec-14 [32m1722680295947f2c[0;39m 当前登录用户信息为{"mobile":"13000000000","id":1814358440773029888}
2024-08-03 18:18:16.213 INFO  com.fugui.train.common.aspect.LogAspect           :91   http-nio-8002-exec-107 [32m17226802961197bj[0;39m ------------- 结束 耗时：94 ms -------------
